galery_name,gallery_link,gallery_imgs
Barbara Thumm,https://www.galleriesnow.net/gallery/galerie-barbara-thumm/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Galerie-Barbara-Thumm-Maria-Magdalena-Campos-Pons-2.jpg""]"
Bastian,https://www.galleriesnow.net/gallery/galerie-bastian/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/AW_Vesuvius_1985-small-1800x1318-1.jpg""]"
Buchholz,https://www.galleriesnow.net/gallery/galerie-buchholz/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Inv-Tillmans_vorne_Druck_1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Inv_Koether_vorne.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Inv_Stark_vorne.jpg""]"
Capitain Petzel,https://www.galleriesnow.net/gallery/capitain-petzel/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Poster-Xie-Nanxing-foradecasa-Capitain-Petzel-2024-web.jpg""]"
"Galerie Max Hetzler, Potsdamer Straße",https://www.galleriesnow.net/gallery/galerie-max-hetzler/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-B45-Sean-Scully.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-B15-16-Sean-Scully.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-Mark-Grotjahn-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-Tursic-Mille-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Giulia-Andreani.jpg""]"
Max Hetzler Bleibtreustr. 15/16,https://www.galleriesnow.net/gallery/galerie-max-hetzler/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-B45-Sean-Scully.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-B15-16-Sean-Scully.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-Mark-Grotjahn-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-Tursic-Mille-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Giulia-Andreani.jpg""]"
"Max Hetzler, Bleibtreustr.",https://www.galleriesnow.net/gallery/galerie-max-hetzler/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-B45-Sean-Scully.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-B15-16-Sean-Scully.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-Mark-Grotjahn-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-Tursic-Mille-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Giulia-Andreani.jpg""]"
"Max Hetzler, Goethestr.",https://www.galleriesnow.net/gallery/galerie-max-hetzler/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-B45-Sean-Scully.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-B15-16-Sean-Scully.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-Mark-Grotjahn-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Max-Hetzler-Tursic-Mille-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Giulia-Andreani.jpg""]"
Under The Mango Tree,https://www.galleriesnow.net/gallery/under-the-mango-tree/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Imaginary-Homeland.jpg""]"
