id,name,location,type,rating,year,img,link,lat,lng
2696,Widder Restaurant,Zurich,Modern French,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/dbd1c4622ec144c78585038342182072"" width=""362"" height=""203",https://guide.michelin.com//en/zurich-region/zurich/restaurant/widder-restaurant,47.372218,8.539817
2697,META,Lugano,Mediterranean Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/eddb46c1e6ed4e8aa7b60bdbb5734325"" width=""362"" height=""203",https://guide.michelin.com//en/ticino/lugano/restaurant/meta-1192226,45.992728,8.946328
2698,La Brezza,Arosa,Modern Cuisine,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/af86229ade5e43cb9e4be67d92eb7f1e"" width=""362"" height=""203",https://guide.michelin.com//en/graubunden/arosa/restaurant/la-brezza-1191835,46.777508,9.669012
2699,La Micheline,Geneva,Mediterranean Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4020e9d4506f4091b34bc0e4856bb652"" width=""362"" height=""203",https://guide.michelin.com//en/geneve-region/geneve/restaurant/la-micheline,46.200898,6.166098
2700,Gasthaus zum Kreuz - Bijou,Dallenwil,Asian and Western,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ccda68e1e40149a59723be76e4a3cc93"" width=""362"" height=""203",https://guide.michelin.com//en/nidwalden/dallenwil/restaurant/gasthaus-zum-kreuz-bijou,46.931837,8.390924
2701,die Wöschi,Zurich,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ca35365c75fe4b7680ca321849a17a15"" width=""362"" height=""203",https://guide.michelin.com//en/zurich-region/zurich/restaurant/woschi,47.340512,8.53803
2702,Du Bourg,Biel,Modern Cuisine,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/2db500c96b12464dab6bb694b2f013a4"" width=""362"" height=""203",https://guide.michelin.com//en/bern-region/biel/restaurant/du-bourg,47.141178,7.245692
2703,La Rôtisserie,Zurich,Contemporary,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/de8c25c2a3a84fba8c4570e63682f331"" width=""362"" height=""203",https://guide.michelin.com//en/zurich-region/zurich/restaurant/la-rotisserie114192,47.371312,8.541814
2704,Eden Kitchen & Bar,Zurich,Italian,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/83a692718d844b0997389041710f6fae"" width=""362"" height=""203",https://guide.michelin.com//en/zurich-region/zurich/restaurant/eden-kitchen-bar,47.362821,8.547279
2705,L'Aparté,Geneva,Modern French,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/3137a4c953d64a2d90eb90a76e24a234"" width=""362"" height=""203",https://guide.michelin.com//en/geneve-region/geneve/restaurant/l-aparte114414,46.21338,6.145385
2706,Gasthaus zum Kreuz - Stübli,Dallenwil,Classic Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/423366f91a204e1692a5df62a83516f1"" width=""362"" height=""203",https://guide.michelin.com//en/nidwalden/dallenwil/restaurant/gasthaus-zum-kreuz,46.931856,8.390924
2707,Bayview by Michel Roth,Geneva,Modern French,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/397219f0e45c41c7b13e9babf92f03c5"" width=""362"" height=""203",https://guide.michelin.com//en/geneve-region/geneve/restaurant/bayview,46.214132,6.151687
2708,Truube,Gais,Mediterranean Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/391e926ac9f0457a8074a96607a92aab"" width=""362"" height=""203",https://guide.michelin.com//en/appenzell-ausserrhoden/gais/restaurant/truube,47.366161,9.460683
2709,Neue Blumenau,Lömmenschwil,Classic Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/10e3411b2e7f48139ccde36d8a331b2c"" width=""362"" height=""203",https://guide.michelin.com//en/sankt-gallen-region/lmmenschwil/restaurant/neue-blumenau,47.494174,9.353014
2710,Auberge de la Croix Blanche,Villarepos,Classic Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/1714244564624237a368e57f496e2c82"" width=""362"" height=""203",https://guide.michelin.com//en/fribourg-region/villarepos/restaurant/auberge-de-la-croix-blanche,46.88313,7.069039
2711,focus ATELIER,Vitznau,Creative,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7af59c58ccc345b9a9bab14f4ffee394"" width=""362"" height=""203",https://guide.michelin.com//en/luzern-region/vitznau/restaurant/focus,47.015189,8.477549
2712,Gasthaus Löwen,Menzingen,Classic Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/6289e70cbf5749aa90e82f53dd66bab7"" width=""362"" height=""203",https://guide.michelin.com//en/zug-region/menzingen/restaurant/lowen179704,47.17859,8.59038
