galery_name,gallery_link,gallery_imgs
Galerie Eva Presenhuber Vienna,https://www.galleriesnow.net/gallery/galerie-eva-presenhuber/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/evainvitesmallredpainting_sRGB.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/crop_PILST60232.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/HUGHE60265_detail4.jpg""]"
Lisa Kandlhofer,https://www.galleriesnow.net/gallery/galerie-lisa-kandlhofer/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Galerie-Kandlhofer-Karl-Karner-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Amy-Stephens.jpg""]"
Lukas Feichtner Galerie,https://www.galleriesnow.net/gallery/lukas-feichtner-galerie/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/STRASZ_ZSOLT_A5_END-bilder-0.webp"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/STRASZ_ZSOLT_A5_END-bilder-1.webp""]"
Meyer Kainer,https://www.galleriesnow.net/gallery/galerie-meyer-kainer/,[]
